Salary,Experience,Education,Management
13876,1,Bachelor,True
11608,1,PhD,False
18701,1,PhD,True
11283,1,Master,False
11767,1,PhD,False
20872,2,Master,True
11772,2,Master,False
10535,2,Bachelor,False
12195,2,PhD,False
12313,3,Master,False
14975,3,Bachelor,True
21371,3,Master,True
19800,3,PhD,True
11417,4,Bachelor,False
20263,4,PhD,True
13231,4,PhD,False
12884,4,Master,False
13245,5,Master,False
13677,5,PhD,False
15965,5,Bachelor,True
12336,6,Bachelor,False
21352,6,PhD,True
13839,6,Master,False
22884,6,Master,True
16978,7,Bachelor,True
14803,8,Master,False
17404,8,Bachelor,True
22184,8,PhD,True
13548,8,Bachelor,False
14467,10,Bachelor,False
15942,10,Master,False
23174,10,PhD,True
23780,10,Master,True
25410,11,Master,True
14861,11,Bachelor,False
16882,12,Master,False
24170,12,PhD,True
15990,13,Bachelor,False
26330,13,Master,True
17949,14,Master,False
25685,15,PhD,True
27837,16,Master,True
18838,16,Master,False
17483,16,Bachelor,False
19207,17,Master,False
19346,20,Bachelor,False
